id   ,identifiant           ,motDePasse,nomDeNaissance,nomDUsage,prenoms                   ,genre ,email                        ,telephone ,dateDeNaissance,codePostalLieuDeNaissance,codePaysDeNaissance,adressePays,adresseVille,adresseCodePostal,adresseVoie
fim15,E010001               ,123       ,Martin        ,Martin   ,Jean_E010001              ,male  ,jean_E010001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim16,E010002               ,123       ,Martin        ,Martin   ,Jean_E010002              ,male  ,jean_E010002.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim17,E010003               ,123       ,Martin        ,Martin   ,Jean_E010003              ,male  ,jean_E010003.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim18,E010004               ,123       ,Martin        ,Martin   ,Jean_E010004              ,male  ,jean_E010004.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim19,E010005               ,123       ,Martin        ,Martin   ,Jean_E010005              ,male  ,jean_E010005.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim20,E010006               ,123       ,Martin        ,Martin   ,Jean_E010006              ,male  ,jean_E010006.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim21,E010007               ,123       ,Martin        ,Martin   ,Jean_E010007              ,male  ,jean_E010007.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim22,E010008               ,123       ,Martin        ,Martin   ,Jean_E010008              ,male  ,jean_E010008.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim23,E010009               ,123       ,Martin        ,Martin   ,Jean_E010009              ,male  ,jean_E010009.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim24,E010010               ,123       ,Martin        ,Martin   ,Jean_E010010              ,male  ,jean_E010010.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim25,E010011               ,123       ,Martin        ,Martin   ,Jean_E010011              ,male  ,jean_E010011.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim26,E010012               ,123       ,Martin        ,Martin   ,Jean_E010012              ,male  ,jean_E010012.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim27,E010013               ,123       ,Martin        ,Martin   ,Jean_E010013              ,male  ,jean_E010013.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim28,E010014               ,123       ,Martin        ,Martin   ,Jean_E010014              ,male  ,jean_E010014.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim29,E010015               ,123       ,Martin        ,Martin   ,Jean_E010015              ,male  ,jean_E010015.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim30,E010016               ,123       ,Martin        ,Martin   ,Jean_E010016              ,male  ,jean_E010016.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim31,E010017               ,123       ,Martin        ,Martin   ,Jean_E010017              ,male  ,jean_E010017.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim32,E020001               ,123       ,Martin        ,Martin   ,Jean_E020001              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim33,E020002               ,123       ,Martin        ,Martin   ,Jean_E020002              ,      ,jean_E020001.martin@france.fr,0123456789,               ,75112                    ,99100              ,           ,Marseille   ,13016            ,97 Boulevard François Robert
fim34,E020003               ,123       ,Martin        ,Martin   ,Jean_E020003              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,nowhere                  ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim35,E020004               ,123       ,Martin        ,Martin   ,Jean_E020004              ,male  ,                             ,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim36,E020005               ,123       ,Martin        ,Martin   ,Jean_E020005              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim37,E020006               ,123       ,Martin        ,Martin   ,Jean_E020006              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim38,E020007               ,123       ,Martin        ,Martin   ,Jean_E020007              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim39,E020008               ,123       ,Martin        ,Martin   ,Jean_E020008              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim40,E020009               ,123       ,Martin        ,Martin   ,Jean_E020009              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim41,E020010               ,123       ,Martin        ,Martin   ,Jean_E020010              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim42,E020011               ,123       ,Martin        ,Martin   ,Jean_E020011              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim43,E020012               ,123       ,Martin        ,Martin   ,Jean_E020012              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim44,E020013               ,123       ,Martin        ,Martin   ,Jean_E020013              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim45,E020014               ,123       ,Martin        ,Martin   ,Jean_E020014              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim46,E020015               ,123       ,Martin        ,Martin   ,Jean_E020015              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim47,E020016               ,123       ,Martin        ,Martin   ,Jean_E020016              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim48,E020017               ,123       ,Martin        ,Martin   ,Jean_E020017              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim49,E020018               ,123       ,Martin        ,Martin   ,Jean_E020018              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim50,E020019               ,123       ,Martin        ,Martin   ,Jean_E020019              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim51,E020020               ,123       ,Martin        ,Martin   ,Jean_E020020              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim52,E020021               ,123       ,Martin        ,Martin   ,Jean_E020021              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
fim53,E020022               ,123       ,Martin        ,Martin   ,Jean_E020022              ,male  ,jean_E020001.martin@france.fr,0123456789,1981-02-03     ,75112                    ,99100              ,France     ,Marseille   ,13016            ,97 Boulevard François Robert
